id,name,faction,image,term,source,district__hy,party__hy,faction__hy,name__hy,district__ru,party__ru,faction__ru,name__ru,area,birth_date,party,email,name__en
1,Ashot V. Ghoulyan,"""Democracy"" Faction",http://nankr.am/images/deputy/5597c8cfc842e.jpg,6,http://nankr.am/deputy/1/,Համամասնական,Արցախի ժողովրդավարական կուսակցություն (ԱԺԿ),«Ժողովրդավարություն» խմբակցություն,Ղուլյան Աշոտ Վլադիմիրի,Пропорциональная,Демократическая партия Арцаха (ДПА),"Фракция ""Демократия""",Гулян Ашот Владимирович,Proportional,1965-08-19,Democratic Party of Artsakh (DPA),aghoulyan@nankr.am,Ashot V. Ghoulyan
14,Vahram R. Balayan,"""Dashnaktsutyun"" Faction",http://nankr.am/images/deputy/55e3ecb00026e.png,6,http://nankr.am/deputy/14/,"Մեծամասնական, 4",Հայ Հեղափոխական դաշնակցություն (ՀՅԴ),«Դաշնակցություն» խմբակցություն,Բալայան Վահրամ Ռազմիկի,"Мажоритарная, 4","АРФ ""Дашнакцутюн""","Фракция ""Дашнакцутюн""",Балаян Ваграм Размикович,"Majority, 4",1962-08-22,Armenian Revolutionary Federation (ARF),vbalayan@nankr.am,Vahram R. Balayan
52,Eduard A. Aghabekyan,“Movement-88” (Faction Leader),http://nankr.am/images/deputy/55e072bcb9242.png,6,http://nankr.am/deputy/52/,Համամասնական,«Շարժում-88»,«Շարժում-88» (Խմբակցության ղեկավար),Աղաբեկյան Էդուարդ Արտավազդի,Пропорциональная,"""Движение-88""","""Движение-88"" (Руководитель фракции)",Агабекян Эдуард Артаваздович,Proportional,1963-06-02,"""Movement-88""","",Eduard A. Aghabekyan
55,Arsen A. Arstamyan,"",http://nankr.am/images/deputy/55e06e428ff10.png,6,http://nankr.am/deputy/55/,"Մեծամասնական, 2","","",Առստամյան Արսեն Արամայիսի,"Мажоритарная, 2","","",Арустамян Арсен Арамаисович,"Majority, 2",1980-09-21,"","",Arsen A. Arstamyan
7,Arpat S. Avanesyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e06e7d7d257.png,6,http://nankr.am/deputy/7/,Համամասնական,«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Ավանեսյան Արպատ Սանջանի,Пропорциональная,"""Свободная родина""","Фракция ""Родина""",Авaнесян Арпат Санджанович,Proportional,1944-01-02,"""Free Motherland""",aavanesyan@nankr.am,Arpat S. Avanesyan
12,Ivan Kh. Avanesyan,"""Motherland"" Faction",http://nankr.am/images/deputy/55e0742d4e29c.png,6,http://nankr.am/deputy/12/,"Մեծամասնական, 6",«Ազատ hայրենիք»,«Հայրենիք» խմբակցություն,Ավանեսյան Իվան Խորենի,"Мажоритарная, 6","""Свободная родина""","Фракция ""Родина""",Аванесян Иван Хоренович,"Majority, 6",1968-05-12,"""Free Motherland""",iavanesyan@nankr.am,Ivan Kh. Avanesyan
13,Vitaly M. Balasanyan,“Movement-88”,http://nankr.am/images/deputy/55e06fd2db72d.png,6,http://nankr.am/deputy/13/,"Մեծամասնական, 5",«Շարժում-88»,«Շարժում-88»,Բալասանյան Վիտալի Միխայիլի,"Мажоритарная, 5","""Движение-88""","""Движение-88""",Баласанян Виталий Михайлович,"Majority, 5",1959-03-05,"""Movement-88""",vbalasanyan@nankr.am,Vitaly M. Balasanyan
51,Gagik M. Baghunts,“Movement-88” (Faction Secretary),http://nankr.am/images/deputy/55e06e19690f7.png,6,http://nankr.am/deputy/51/,Համամասնական,«Շարժում-88»,«Շարժում-88» (Խմբակցության քարտուղար),Բաղունց Գագիկ Միքայելի,Пропорциональная,"""Движение-88""","""Движение-88"" (Секретарь фракции)",Багунц Гагик Михайлович,Proportional,1964-03-22,"""Movement-88""","",Gagik M. Baghunts
18,Vardges B. Baghryan,"""Democracy"" Faction (Faction Leader)",http://nankr.am/images/deputy/55e0701f3cef0.png,6,http://nankr.am/deputy/18/,Համամասնական,Արցախի ժողովրդավարական կուսակցություն (ԱԺԿ),«Ժողովրդավարություն» խմբակցություն (Խմբակցության ղեկավար),Բաղրյան Վարդգես Բորիսի,Пропорциональная,Демократическая партия Арцаха (ДПА),"Фракция ""Демократия"" (Руководитель фракции)",Багирян Вардгес Борисович,Proportional,1952-07-16,Democratic Party of Artsakh (DPA),vbaghryan@nankr.am,Vardges B. Baghryan
16,Ludmila A. Barseghyan,"""Democracy"" Faction (Faction Secretary)",http://nankr.am/images/deputy/55e072863587b.png,6,http://nankr.am/deputy/16/,Համամասնական,Արցախի ժողովրդավարական կուսակցություն (ԱԺԿ),«Ժողովրդավարություն» խմբակցություն (Խմբակցության քարտուղար),Բարսեղյան Լյուդմիլա Անուշավանի,Пропорциональная,Демократическая партия Арцаха (ДПА),"Фракция ""Демократия"" (Секретарь фракции)",Барсегян Людмила Анушавановна,Proportional,1950-07-21,Democratic Party of Artsakh (DPA),lbarseghyan@nankr.am,Ludmila A. Barseghyan
