name,id
Albert Fenech,fenech-albert
Anthony Agius Decelis,agiusdecelis-anthony
Anthony Bezzina,bezzina-anthony
Antoine Borg,borg-antoine
Anton Refalo,refalo-anton
Beppe Fenech Adami,fenech-adamibeppe
Carmelo Abela,abela-carmelo
Carmelo Mifsud Bonnici,mifsudbonnici-carmelo
Carmelo Mifsud Bonniċi,mifsudbonnici-carmelo
Censu Galea,galea-censu
Charles Buhagiar,buhagiar-charles
Charles Mangion,mangion-charles
Charlo Bonnici,bonnici-charlo
Chris Agius,agius-chris
Chris Cardona,cardona-chris
Chris Fearne,fearne-christopher
Chris Said,said-chris
Christian Cardona,cardona-chris
Christopher Fearne,fearne-christopher
Claudette Buttigieg,buttigieg-claudette
Claudio Grech,grech-claudio
Clyde Puli,puli-clyde
Cozef Debone Qrex,debonogrech-joe
David Agius,agius-david
Deborah Schembri,schembri-deborah
Deo Debattista,debattista-deo
Edward Scicluna,scicluna-edward
Edward Zammit-Lewis,zammitlewis-edward
Emmanuel Mallia,mallia-emmanuel
Etienne Grech,grech-etienne
Evarist Bartolo,bartolo-evarist
Francis Zammit Dimech,zammit-dimechfrancis
Franco Mercieca,mercieca-franco
Frederick Azzopardi,azzopardi-frederick
George Pullicino,pullicino-george
George Vella,vella-george
George William Vella,vella-george
Georgius Gulielmus Vella,vella-george
Giovanna Debono,debono-giovanna
Godfrey Farrugia,farrugia-godfrey
Helena Dalli,dalli-helena
Ian Borg,borg-ian
Iosephus Muscat,muscat-joseph
Jason Azzopardi,azzopardi-jason
Joe Cassar,cassar-joe
Joe Debono Grech,debonogrech-joe
Joe Mizzi,mizzi-joe
Joseph Farrugia,farrugia-joseph
Joseph Muscat,muscat-joseph
Joseph Sammut,sammut-joseph
José Herrera,herrera-jose
Justyne Caruana,caruana-justyne
Konrad Mizzi,mizzi-konrad
Kristy Debono,kristy-debono
Leo Brincat,brincat-leo
Louis Grech,grech-louis
Luciano Busuttil,busuttil-luciano
Mario De Marco,demarco-mario
Mario Galea,galea-mario
Marlene Farrugia,farrugia-marlene
Marthese Portelli,portelli-marthese
Michael Falzon,falzon-michael
Michael Farrugia,farrugia-michael
Michael Gonzi,gonzi-michael
Owen Bonnici,bonnici-owen
Paula Mifsud Bonnici,mifsudbonnici-paula
Robert Arrigo,arrigo-robert
Robert Cutajar,cutajar-robert
Roderick Galdes,galdes-roderick
Ryan Callus,callus-ryan
Silvio Parnis,parnis-silvio
Silvio Schembri,schembri-silvio
Simon Busuttil,busuttil-simon
Stefan Buontempo,buontempo-stefan
Stephen Spiteri,spiteri-stephen
Tonio Fenech,fenech-tonio
Ċensu Galea,galea-censu
Τζόζεφ Μούσκατ,muscat-joseph
Джозеф Мускат,muscat-joseph
"Мускат, Джозеф",muscat-joseph
Саймон Бусуттіл,busuttil-simon
جوزف موسکات,muscat-joseph
ジョゼフ・ムスカット,muscat-joseph
约瑟夫·穆斯卡特,muscat-joseph
조지프 무스카트,muscat-joseph
