name,id
"!Naruseb, Alpheus",Naruseb-Alpheus
"!Nawases-Taeyele, Evelyn",Nawases-Taeyele-Evelyn
!Nawases-Tayele Evelyn,Nawases-Tayele-Evelyn
"!Nawatiseb, Engelbrecht A.",Nawatiseb-Engelbrecht-A
//Garoeb Justus,Garoeb-Justus
//Garoeb Moses,Garoeb-Moses
//Gowases Clara,Gowases-Clara
"//Hoebes, Christine",Hoebes-Christine
/Gaseb Johannes,Gaseb-Johannes
/Ui/o/oo Royal,Ui-o-oo-Royal
"/Ui/o/oo, Royal Kxao",Ui-o-oo-Royal-Kxao
Africa Ben,Africa-Ben
"Alweendo, Thomas K.",Alweendo-Thomas-K
Amadhila Matti,Amadhila-Matti
"Amadhila Solomon ""Solly""",Amadhila-Solomon-Solly
Amathila Appolus Libertine,Amathila-Appolus-Libertine
Amathila Ben,Amathila-Ben
Amukugo Elizabeth,Amukugo-Elizabeth
Amweelo Moses,Amweelo-Moses
Angula Helmut Kangulohi,Angula-Helmut-Kangulohi
Angula Nahas,Angula-Nahas
"Ankama, Samuel",Ankama-Samuel
Aston Walter,Aston-Walter
Auchab Apius,Auchab-Apius
Ausiku Helmut,Ausiku-Helmut
"Barnes ""Barney"" Leonard",Barnes-Barney-Leonard
Barnes Margreth,Barnes-Margreth
Basson Lucia,Basson-Lucia
Bayer Anna,Bayer-Anna
Bessinger Niko,Bessinger-Niko
Beukes Priscilla,Beukes-Priscilla
Bezuidenhout Stephanus,Bezuidenhout-Stephanus
Biwa Eric,Biwa-Eric
Biwa Willem,Biwa-Willem
Bohitile G. Clara,Bohitile-G-Clara
Boois Dawid,Boois-Dawid
Booys G Hans,Booys-G-Hans
Botha P. Daniel,Botha-P-Daniel
"Caley, Faustina Namutenya",Caley-Faustina-Namutenya
Chata Linus,Chata-Linus
Christiaan Hansina,Christiaan-Hansina
Dan Gabriel,Dan-Gabriel
De Wet Jan,De-Wet-Jan
