name,party,faction,constituency,wikipedia,portfolio,term,source
Milton Dube,Non-partisan,Government,Aiwo,https://en.wikipedia.org/wiki/Milton_Dube,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Aaron Cook,Non-partisan,Government,Aiwo,"","Commerce, Industry & Environment; RONPhos; Nauru Rehabilitation Corporation",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Riddell Akua,Naoero Amo,Government,Anabar,https://en.wikipedia.org/wiki/Riddell_Akua,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Ludwig Scotty,Non-partisan,Government,Anabar,https://en.wikipedia.org/wiki/Ludwig_Scotty,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Cyril Buraman,Non-partisan,Government,Anetan,https://en.wikipedia.org/wiki/Cyril_Buraman,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Marcus Stephen,Non-partisan,Opposition,Anetan,https://en.wikipedia.org/wiki/Marcus_Stephen,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Mathew Batsiua,Non-partisan,Opposition,Boe,https://en.wikipedia.org/wiki/Mathew_Batsiua,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Baron Waqa,Non-partisan,Government,Boe,https://en.wikipedia.org/wiki/Baron_Waqa,Public Service; Police & Emergency Services; Foreign Affairs & Trade; Climate Change,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Shadlog Bernicke,Non-partisan,Government,Buada,https://en.wikipedia.org/wiki/Shadlog_Bernicke,Phosphate; Nauru Utilities Corporation; Telecommunications,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Roland Kun,Naoero Amo,Opposition,Buada,https://en.wikipedia.org/wiki/Roland_Kun,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Sprent Dabwido,Naoero Amo,Government,Meneng,https://en.wikipedia.org/wiki/Sprent_Dabwido,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Lyn-Wannan Kam,Non-partisan,Government,Meneng,https://en.wikipedia.org/wiki/Lyn-Wannan_Kam,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Squire Jeremiah,Non-partisan,Government,Meneng,https://en.wikipedia.org/wiki/Squire_Jeremiah,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
David Adeang,Naoero Amo,Government,Ubenide,https://en.wikipedia.org/wiki/David_Adeang,Finance & Sustainable Development; Justice; Eigigu Holdings Corporation; Airline,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Russ J. Kun,Non-partisan,Opposition,Ubenide,https://en.wikipedia.org/wiki/Russell_Kun,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Valdon Dowiyogo,Non-partisan,Government,Ubenide,https://en.wikipedia.org/wiki/Valdon_Dowiyogo,Health;Transport;Sports;Fisheries,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Ranin Akua,Non-partisan,Government,Ubenide,"","",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Kieren Keke,Naoero Amo,Opposition,Yaren,https://en.wikipedia.org/wiki/Kieren_Keke,"",21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
Charmaine Scotty,Non-partisan,Government,Yaren,https://en.wikipedia.org/wiki/Charmaine_Scotty,Home Affairs; Education and Youth; Land Management,21,https://en.wikipedia.org/wiki/Parliament_of_Nauru
