id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
aaron_cook,Aaron Cook,,,Government,government,,Parliament,21,,,,
baron_waqa,Baron Waqa,,,Government,government,,Parliament,21,,,,
charmaine_scotty,Charmaine Scotty,,,Government,government,,Parliament,21,,,,
cyril_buraman,Cyril Buraman,,,Government,government,,Parliament,21,,,,
david_adeang,David Adeang,,,Government,government,,Parliament,21,,,,
kieren_keke,Kieren Keke,,,Opposition,opposition,,Parliament,21,,,,
ludwig_scotty,Ludwig Scotty,,,Government,government,,Parliament,21,,,,
lyn-wannan_kam,Lyn-Wannan Kam,,,Government,government,,Parliament,21,,,,
marcus_stephen,Marcus Stephen,,,Opposition,opposition,,Parliament,21,,,,
mathew_batsiua,Mathew Batsiua,,,Opposition,opposition,,Parliament,21,,,,
milton_dube,Milton Dube,,,Government,government,,Parliament,21,,,,
ranin_akua,Ranin Akua,,,Government,government,,Parliament,21,,,,
riddell_akua,Riddell Akua,,,Government,government,,Parliament,21,,,,
roland_kun,Roland Kun,,,Opposition,opposition,,Parliament,21,,,,
russ_j._kun,Russ J. Kun,,,Opposition,opposition,,Parliament,21,,,,
shadlog_bernicke,Shadlog Bernicke,,,Government,government,,Parliament,21,,,,
sprent_dabwido,Sprent Dabwido,,,Government,government,,Parliament,21,,,,
squire_jeremiah,Squire Jeremiah,,,Government,government,,Parliament,21,,,,
valdon_dowiyogo,Valdon Dowiyogo,,,Government,government,,Parliament,21,,,,
