party,area,id,image,email,details_url,term_id,name
HM Horizon Monaco,"",Jean-Charles-ALLAVENA,http://www.conseil-national.mc/images/les-elus/jean-charles-allavena.jpg,jc.allavena@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/142-jean-charles-allavena,2013,Jean-Charles ALLAVENA
HM Horizon Monaco,"",Nathalie-AMORATTI-BLANC,http://www.conseil-national.mc/images/les-elus/nathalie-amoratti-blanc.jpg,n.amoratti-blanc@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/150-nathalie-amoratti-blanc,2013,Nathalie AMORATTI-BLANC
HM Horizon Monaco,"",Christian-BARILARO,http://www.conseil-national.mc/images/les-elus/christian-barilaro.jpg,c.barilaro@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/143-christian-barilaro,2013,Christian BARILARO
HM Horizon Monaco,"",Daniel-BOERI,http://www.conseil-national.mc/images/les-elus/daniel-boeri.jpg,d.boeri@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/146-daniel-boeri,2013,Daniel BOERI
HM Horizon Monaco,"",Claude-BOISSON,http://www.conseil-national.mc/images/les-elus/claude-boisson.jpg,c.boisson@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/151-claude-boisson,2013,Claude BOISSON
HM Horizon Monaco,"",Marc-BURINI,http://www.conseil-national.mc/images/les-elus/marc-burini.jpg,m.burini@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/139-marc-burini,2013,Marc BURINI
HM Horizon Monaco,"",Philippe-CLERISSI,http://www.conseil-national.mc/images/les-elus/philippe-clerissi.jpg,p.clerissi@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/152-philippe-clerissi,2013,Philippe CLERISSI
HM Horizon Monaco,"",Thierry-CROVETTO,http://www.conseil-national.mc/images/les-elus/thierry-crovetto.jpg,t.crovetto@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/153-thierry-crovetto,2013,Thierry CROVETTO
HM Horizon Monaco,"",Jean-Michel-CUCCHI,http://www.conseil-national.mc/images/les-elus/jean-michel-cucchi_2.jpg,jm.cucchi@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/144-jean-michel-cucchi,2013,Jean-Michel CUCCHI
HM Horizon Monaco,"",Alain-FICINI,http://www.conseil-national.mc/images/les-elus/alain-ficini.jpg,a.ficini@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/155-alain-ficini,2013,Alain FICINI
HM Horizon Monaco,"",Beatrice-FRESKO-ROLFO,http://www.conseil-national.mc/images/les-elus/beatrice-fresko-rolfo.jpg,b.fresko@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/145-beatrice-fresko-rolfo,2013,Béatrice FRESKO-ROLFO
HM Horizon Monaco,"",Sophie-LAVAGNA,http://www.conseil-national.mc/images/les-elus/sophie-lavagna.jpg,s.lavagna@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/141-sophie-lavagna,2013,Sophie LAVAGNA
HM Horizon Monaco,"",Laurent-NOUVION,http://www.conseil-national.mc/images/les-elus/laurent-nouvion.jpg,lnp@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus,2013,Laurent NOUVION
HM Horizon Monaco,"",Thierry-POYET,http://www.conseil-national.mc/images/les-elus/thierry-poyet.jpg,t.poyet@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/140-thierry-poyet,2013,Thierry POYET
HM Horizon Monaco,"",Jacques-RIT,http://www.conseil-national.mc/images/les-elus/jacques-rit.jpg,j.rit@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/149-jacques-rit,2013,Jacques RIT
HM Horizon Monaco,"",Christophe-ROBINO,http://www.conseil-national.mc/images/les-elus/christophe-robino.jpg,c.robino@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/159-christophe-robino,2013,Christophe ROBINO
HM Horizon Monaco,"",Valerie-ROSSI,http://www.conseil-national.mc/images/les-elus/valerie-rossi.jpg,v.rossi@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/160-valerie-rossi,2013,Valérie ROSSI
HM Horizon Monaco,"",Caroline-ROUGAIGNON-VERNIN,http://www.conseil-national.mc/images/les-elus/caroline-rougaignon-vernin.jpg,c.rougaignon-vernin@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/161-caroline-rougaignon-vernin,2013,Caroline ROUGAIGNON-VERNIN
