id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
bernard_percival,Bernard PERCIVAL,,,,ALP,alp,area/st._john's_rural_north,St. John's Rural North,House of Representatives,1999,,,,
charlesworth_t._samuel,Charlesworth T. SAMUEL,,,,UPP,upp,area/all_saints_east_&_st._luke,All Saints East & St. Luke,House of Representatives,1999,,,,
gaston_alphonso_browne,Gaston Alphonso BROWNE,,,https://www.facebook.com/gaston.browne,ALP,alp,area/st._john's_city_west,St. John's City West,House of Representatives,1999,,,http://www.caribbeanelections.com/ag/images/people/Gaston_Browne_2014c.jpg,
hilroy_humphreys,Hilroy HUMPHREYS,,,,ALP,alp,area/all_saints_west,All Saints West,House of Representatives,1999,,,,
hilson_baptiste,Hilson BAPTISTE,,,https://www.facebook.com/hilson.baptiste,UPP,upp,area/st._mary's_south,St. Mary's South,House of Representatives,1999,,,http://www.caribbeanelections.com/ag/images/people/Hilson_Baptiste_2014.jpg,
john_st._luce,John ST. LUCE,,,,ALP,alp,area/st._john's_city_east,St. John's City East,House of Representatives,1999,,,,
lester_bryant_bird,Lester Bryant BIRD,,,https://www.facebook.com/honlester.bird,ALP,alp,area/st._john's_rural_east,St. John's Rural East,House of Representatives,1999,,,http://www.caribbeanelections.com/ag/images/people/Lester_Bird_2014c.jpg,
longford_jeremy,Longford JEREMY,,,,ALP,alp,area/st._peter,St. Peter,House of Representatives,1999,,,,
molwyn_morgorson_joseph,Molwyn Morgorson JOSEPH,,,https://www.facebook.com/molwyn.joseph.1,ALP,alp,area/st._mary's_north,St. Mary's North,House of Representatives,1999,,,http://www.caribbeanelections.com/ag/images/people/Molwyn-Joseph_2014c.jpg,
nathan_francis,Nathan FRANCIS,,,,UPP,upp,area/st._george,St. George,House of Representatives,1999,,,,
robin_kensworth_yearwood,Robin Kensworth YEARWOOD,,,https://www.facebook.com/robin.yearwoodsnr,ALP,alp,area/st._phillip_north,St. Phillip North,House of Representatives,1999,,,http://www.caribbeanelections.com/ag/images/people/Robin_Yearwood_2014c.jpg,
rodney_williams,Rodney WILLIAMS,,,,ALP,alp,area/st._paul,St. Paul,House of Representatives,1999,,,,
sherfield_bowen,Sherfield BOWEN,,,,ALP,alp,area/st._phillip_south,St. Phillip South,House of Representatives,1999,,,,
steadroy_'cutie'_benjamin,Steadroy 'Cutie' BENJAMIN,,,https://www.facebook.com/CutieBenjamin,ALP,alp,area/st._john's_city_south,St. John's City South,House of Representatives,1999,,,http://www.caribbeanelections.com/ag/images/people/Steadroy_Benjamin_2014c.jpg,
thomas_hilbourne_frank,Thomas Hilbourne FRANK,,,,BPM,bpm,area/barbuda,Barbuda,House of Representatives,1999,,,,
vere_bird_jr.,Vere BIRD Jr.,,,,ALP,alp,area/st._john's_rural_south,St. John's Rural South,House of Representatives,1999,,,,
winston_baldwin_spencer,Winston Baldwin SPENCER,,,https://www.facebook.com/pmspencer,UPP,upp,area/st._john's_rural_west,St. John's Rural West,House of Representatives,1999,,,http://www.caribbeanelections.com/ag/images/people/Baldwin_Spencer_2014.jpg,
