id,name,sort_name,district,mandate_start,mandate_end,party,term,source,image,phone,email,end_date
nabdaladem,NORMA AMANDA ABDALA DE MATARAZZO,"ABDALA DE MATARAZZO, NORMA AMANDA",SANTIAGO DEL ESTERO,2013-12-10,2017-12-09,FRENTE CIVICO POR SANTIAGO,133,http://www.hcdn.gob.ar/diputados/nabdaladem/,http://www4.hcdn.gob.ar/fotos/nabdaladem.jpg,4127-7100,nabdaladem@diputados.gob.ar,
aabraham,ALEJANDRO ABRAHAM,"ABRAHAM, ALEJANDRO",MENDOZA,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/aabraham/,http://www4.hcdn.gob.ar/fotos/aabraham.jpg,4127-7100,aabraham@diputados.gob.ar,
oaguad,OSCAR RAUL AGUAD,"AGUAD, OSCAR RAUL",CORDOBA,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/oaguad/,http://www4.hcdn.gob.ar/fotos/oaguad.jpg,4127-7100,oaguad@diputados.gob.ar,
laguilar,LINO WALTER AGUILAR,"AGUILAR, LINO WALTER",SAN LUIS,2011-12-10,2015-12-09,COMPROMISO FEDERAL,133,http://www.hcdn.gob.ar/diputados/laguilar/,http://www4.hcdn.gob.ar/fotos/laguilar.jpg,4127-7100,laguilar@diputados.gob.ar,2015-12-09
galegre,GILBERTO OSCAR ALEGRE,"ALEGRE, GILBERTO OSCAR",BUENOS AIRES,2013-12-10,2017-12-09,FRENTE RENOVADOR,133,http://www.hcdn.gob.ar/diputados/galegre/,http://www4.hcdn.gob.ar/fotos/galegre.jpg,4127-7100,galegre@diputados.gob.ar,
ralfonsin,RICARDO LUIS ALFONSIN,"ALFONSIN, RICARDO LUIS",BUENOS AIRES,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/ralfonsin/,http://www4.hcdn.gob.ar/fotos/ralfonsin.jpg,4127-7100,ralfonsin@diputados.gob.ar,
malonso,MARIA LUZ ALONSO,"ALONSO, MARIA LUZ",LA PAMPA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/malonso/,http://www4.hcdn.gob.ar/fotos/malonso.jpg,4127-7100,malonso@diputados.gob.ar,2015-12-09
lalonso,LAURA ALONSO,"ALONSO, LAURA",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/lalonso/,http://www4.hcdn.gob.ar/fotos/lalonso.jpg,4127-7100,lalonso@diputados.gob.ar,
barenas,BERTA HORTENSIA ARENAS,"ARENAS, BERTA HORTENSIA",SAN LUIS,2013-12-10,2017-12-09,COMPROMISO FEDERAL,133,http://www.hcdn.gob.ar/diputados/barenas/,http://www4.hcdn.gob.ar/fotos/barenas.jpg,4127-7100,barenas@diputados.gob.ar,
aargumedo,ALCIRA SUSANA ARGUMEDO,"ARGUMEDO, ALCIRA SUSANA",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,PROYECTO SUR - UNEN,133,http://www.hcdn.gob.ar/diputados/aargumedo/,http://www4.hcdn.gob.ar/fotos/aargumedo.jpg,4127-7100,aargumedo@diputados.gob.ar,
aarregui,ANDRES ROBERTO ARREGUI,"ARREGUI, ANDRES ROBERTO",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/aarregui/,http://www4.hcdn.gob.ar/fotos/aarregui.jpg,4127-7100,aarregui@diputados.gob.ar,2015-12-09
aasseff,ALBERTO EMILIO ASSEFF,"ASSEFF, ALBERTO EMILIO",BUENOS AIRES,2011-12-10,2015-12-09,UNIR,133,http://www.hcdn.gob.ar/diputados/aasseff/,http://www4.hcdn.gob.ar/fotos/aasseff.jpg,4127-7100,aasseff@diputados.gob.ar,2015-12-09
havoscan,HERMAN HORACIO AVOSCAN,"AVOSCAN, HERMAN HORACIO",RIO NEGRO,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/havoscan/,http://www4.hcdn.gob.ar/fotos/havoscan.jpg,4127-7100,havoscan@diputados.gob.ar,2015-12-09
mbalcedo,MARIA ESTER BALCEDO,"BALCEDO, MARIA ESTER",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mbalcedo/,http://www4.hcdn.gob.ar/fotos/mbalcedo.jpg,4127-7100,mbalcedo@diputados.gob.ar,2015-12-09
hbaldassi,HECTOR BALDASSI,"BALDASSI, HECTOR",CORDOBA,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/hbaldassi/,http://www4.hcdn.gob.ar/fotos/hbaldassi.jpg,4127-7100,hbaldassi@diputados.gob.ar,
obarchetta,OMAR SEGUNDO BARCHETTA,"BARCHETTA, OMAR SEGUNDO",SANTA FE,2011-12-10,2015-12-09,PARTIDO SOCIALISTA,133,http://www.hcdn.gob.ar/diputados/obarchetta/,http://www4.hcdn.gob.ar/fotos/obarchetta.jpg,4127-7100,obarchetta@diputados.gob.ar,2015-12-09
lbardeggia,LUIS MARIA BARDEGGIA,"BARDEGGIA, LUIS MARIA",RIO NEGRO,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/lbardeggia/,http://www4.hcdn.gob.ar/fotos/lbardeggia.jpg,4127-7100,lbardeggia@diputados.gob.ar,
mbarletta,MARIO DOMINGO BARLETTA,"BARLETTA, MARIO DOMINGO",SANTA FE,2013-12-10,2017-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/mbarletta/,http://www4.hcdn.gob.ar/fotos/mbarletta.jpg,4127-7100,mbarletta@diputados.gob.ar,
jbarreto,JORGE RUBEN BARRETO,"BARRETO, JORGE RUBEN",ENTRE RIOS,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/jbarreto/,http://www4.hcdn.gob.ar/fotos/jbarreto.jpg,4127-7100,jbarreto@diputados.gob.ar,
lbasterra,LUIS EUGENIO BASTERRA,"BASTERRA, LUIS EUGENIO",FORMOSA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/lbasterra/,http://www4.hcdn.gob.ar/fotos/lbasterra.jpg,4127-7100,lbasterra@diputados.gob.ar,2015-12-09
mbazze,MIGUEL ANGEL BAZZE,"BAZZE, MIGUEL ANGEL",BUENOS AIRES,2011-12-10,2015-12-09,UCR,133,http://www.hcdn.gob.ar/diputados/mbazze/,http://www4.hcdn.gob.ar/fotos/mbazze.jpg,4127-7100,mbazze@diputados.gob.ar,2015-12-09
nbedano,NORA ESTHER BEDANO,"BEDANO, NORA ESTHER",CORDOBA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/nbedano/,http://www4.hcdn.gob.ar/fotos/nbedano.jpg,4127-7100,nbedano@diputados.gob.ar,2015-12-09
sbergman,SERGIO ALEJANDRO BERGMAN,"BERGMAN, SERGIO ALEJANDRO",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,133,http://www.hcdn.gob.ar/diputados/sbergman/,http://www4.hcdn.gob.ar/fotos/sbergman.jpg,4127-7100,sbergman@diputados.gob.ar,
rbernabey,RAMON ERNESTO BERNABEY,"BERNABEY, RAMON ERNESTO",CORDOBA,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/rbernabey/,http://www4.hcdn.gob.ar/fotos/rbernabey.jpg,4127-7100,rbernabey@diputados.gob.ar,
mbianchi,MARIA DEL CARMEN BIANCHI,"BIANCHI, MARIA DEL CARMEN",CIUDAD de BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,133,http://www.hcdn.gob.ar/diputados/mbianchi/,http://www4.hcdn.gob.ar/fotos/mbianchi.jpg,4127-7100,mbianchi@diputados.gob.ar,2015-12-09
ibianchi,IVANA MARIA BIANCHI,"BIANCHI, IVANA MARIA",SAN LUIS,2011-12-10,2015-12-09,COMPROMISO FEDERAL,133,http://www.hcdn.gob.ar/diputados/ibianchi/,http://www4.hcdn.gob.ar/fotos/ibianchi.jpg,4127-7100,ibianchi@diputados.gob.ar,2015-12-09
