name,wikiname__nl,group,area,taalgroep,term,source,end_date,start_date,id,sort_name,email,website,image
Meyrem Almaci,Meyrem Almaci,Ecolo/Groen,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01189&lactivity=54,,,01189,Almaci Meyrem,eb.remaked@icamla.meryem,http://www.meyremalmaci.be,http://www.lachambre.be/site/wwwroot/images/cv/01189.gif
Rita Bellens,Rita Bellens,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06592&lactivity=54,,,06592,Bellens Rita,eb.remaked@snelleb.atir,"",http://www.lachambre.be/site/wwwroot/images/cv/06592.gif
Kristof Calvo,Kristof Calvo,Ecolo/Groen,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06128&lactivity=54,,,06128,Calvo Kristof,eb.remaked@ovlac.fotsirk,"",http://www.lachambre.be/site/wwwroot/images/cv/06128.gif
Monica De Coninck,Monica De Coninck,sp.a,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01183&lactivity=54,,,01183,De Coninck Monica,eb.remaked@kcninoced.acinom,"",http://www.lachambre.be/site/wwwroot/images/cv/01183.gif
Zuhal Demir,Zuhal Demir,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06142&lactivity=54,,,06142,Demir Zuhal,eb.remaked@rimed.lahuz,http://www.zuhaldemir.be,http://www.lachambre.be/site/wwwroot/images/cv/06142.gif
Peter De Roover,Peter De Roover,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06588&lactivity=54,,,06588,De Roover Peter,eb.remaked@revoored.retep,http://www.peterderoover.be,http://www.lachambre.be/site/wwwroot/images/cv/06588.gif
Maya Detiège,Maya Detiège,sp.a,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01067&lactivity=54,,,01067,Detiège Maya,eb.remaked@egeited.ayam,http://www.mayadetiege.be,http://www.lachambre.be/site/wwwroot/images/cv/01067.gif
Bart De Wever,Bart De Wever,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01200&lactivity=54,,,01200,De Wever Bart,eb.remaked@revewed.trab,"",http://www.lachambre.be/site/wwwroot/images/cv/01200.gif
Filip Dewinter,Filip Dewinter,Vlaams Belang,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00472&lactivity=54,,,00472,Dewinter Filip,eb.remaked@retniwed.pilif,http://www.fdw.nu,http://www.lachambre.be/site/wwwroot/images/cv/00472.gif
Sophie De Wit,Sophie De Wit,N-VA,Antwerpen,Nederlands,54,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06141&lactivity=54,,,06141,De Wit Sophie,eb.remaked@tiwed.eihpos,http://www.sophiedewit.be,http://www.lachambre.be/site/wwwroot/images/cv/06141.gif
