id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
8646b7a1-ff0f-4402-b7f7-94692ef2a837,Aaja Chemnitz Larsen,aacl@inatsisartut.gl,,Inuit Ataqatigiit,c949db1d-2ae6-4108-ad32-da43af8bbed8,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/2461849/Aaja%20Chemnitz%20Larsen%202014.12%20-%2015537.jpg
56b7da86-b9c7-4fcd-bd04-f980cde7d4c5,Agathe Fontain,agathe@inatsisartut.gl,,Inuit Ataqatigiit,c949db1d-2ae6-4108-ad32-da43af8bbed8,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/234537/2010.09.17%20Start%20EM%202010%2000896.jpg
7441d767-4f34-444b-9dbe-b60cac20389e,Anders Olsen,anols@inatsisartut.gl,,Siumut,7ac7bc59-f634-4a37-be65-90c071f86b43,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/293529/untitled-4.jpg
ddaf366f-9b1f-4f98-b55c-200b3edac056,Andreas Uldum,uldum@nanoq.gl,,Demokraatit,8aef0464-aeb0-44fd-b069-b101e7472a3b,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/234534/2010.09.17%20Start%20EM%202010%2000892.jpg
16ae4426-69c2-490c-8aa1-37b963d04ba6,Ane Hansen,aneh@inatsisartut.gl,,Inuit Ataqatigiit,c949db1d-2ae6-4108-ad32-da43af8bbed8,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/234538/2010.09.17%20Start%20EM%202010%2000903.jpg
2e8ad049-e92d-4122-ac72-0e67f417385e,Anthon Frederiksen,antuut@inatsisartut.gl,,Partii Naleraq,f4107d8d-b91d-4bda-a690-7a2133518f8e,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/234539/2010.09.17%20Start%20EM%202010%2000946.jpg
54ef225c-ae48-4fcd-aadf-ccf13686c19c,Aqqaluaq B. Egede,aqqe@inatsisartut.gl,,Inuit Ataqatigiit,c949db1d-2ae6-4108-ad32-da43af8bbed8,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/234438/2010.09.17%20Start%20EM%202010%2000886.jpg
5ae7ca97-57f2-4bb5-9416-1b0fb3fc1413,Doris Jakobsen,doja@nanoq.gl,,Siumut,7ac7bc59-f634-4a37-be65-90c071f86b43,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/293877/untitled-5.jpg
0a343a11-29ab-4706-8334-d759ccb0e9cc,Hans Enoksen,hans@inatsisartut.gl,,Partii Naleraq,f4107d8d-b91d-4bda-a690-7a2133518f8e,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/298458/untitled-6.jpg
194d3b3d-e97c-4ea4-beef-4734f928ffda,Iddimanngiiu Bianco,idjb@inatsisartut.gl,,Inuit Ataqatigiit,c949db1d-2ae6-4108-ad32-da43af8bbed8,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/2461401/Iddimanngiiu%20Bianco%202014.12%20-%2015527.jpg
4c43192f-8afe-4988-916e-f4e465626cc8,Ineqi Kielsen,ineqi@inatsisartut.gl,,Siumut,7ac7bc59-f634-4a37-be65-90c071f86b43,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/2461245/Ineqi%20Kielsen%202014.12%20-%2015542.jpg
5dd56df6-2452-4464-8be4-805798977d95,Jens Immanuelsen,jeim@inatsisartut.gl,,Siumut,7ac7bc59-f634-4a37-be65-90c071f86b43,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/402739/Jens%20Immanuelsen%20-%2003714.jpg
f279638a-dd1c-4159-9aa4-767b43c2eeb2,Juliane Henningsen,jhen@inatsisartut.gl,,Inuit Ataqatigiit,c949db1d-2ae6-4108-ad32-da43af8bbed8,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/234488/2010.09.17%20Start%20EM%202010%2000898.jpg
73292c5f-5ba6-43c4-bd63-deb605333431,Justus Hansen,justus@inatsisartut.gl,,Demokraatit,8aef0464-aeb0-44fd-b069-b101e7472a3b,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/234516/2010.09.17%20Start%20EM%202010%2000888.jpg
292a7ac3-f465-4405-90f8-2ab3b440c299,Kalistat Lund,kalistat@inatsisartut.gl,,Inuit Ataqatigiit,c949db1d-2ae6-4108-ad32-da43af8bbed8,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/719177/Kalistat%20Lund%20-%2007662.jpg
ce4f4f01-cba8-4410-bbb9-add05b31cf18,Karl-Kristian Kruse,kkkr@nanoq.gl,,Siumut,7ac7bc59-f634-4a37-be65-90c071f86b43,,Inatsisartut,2014-11-28,,,http://en.inatsisartut.gl/media/719211/Karl-Kristian%20Kruse%20-%2007672.jpg
