id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
alexander_teabo,Alexander Teabo,Alexander Teabo,,,,Karikirakean Te I-Kiribati - Opposition,karikirakean_te_i-kiribati_-_opposition,area/butaritari,Butaritari,Parliament,10,,,,male
anote_tong,Anote Tong,Anote Tong,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,,,Parliament,10,,,,
boutu_bateriki,Boutu Bateriki,Boutu Bateriki,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,,,Parliament,10,,,,
ioteba_redfern,Ioteba Redfern,Ioteba Redfern,,,,Maurin Kiribati,maurin_kiribati,area/betio,Betio,Parliament,10,,,,male
jacob_teem,Jacob Teem,Jacob Teem,,,,Independent members,independent_members,area/kiritimati,Kiritimati,Parliament,10,,,,male
james_taom,James Taom,James Taom,,,,Karikirakean Te I-Kiribati - Opposition,karikirakean_te_i-kiribati_-_opposition,area/makin,Makin,Parliament,10,,,,male
kautu_tenaua,Kautu Tenaua,Kautu Tenaua,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,,,Parliament,10,,,,
kirata_temamaka,Kirata Temamaka,Kirata Temamaka,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,area/kiritimati,Kiritimati,Parliament,10,,,,male
kouraiti_beniato,Kouraiti Beniato,Kouraiti Beniato,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,area/onotoa,Onotoa,Parliament,10,,,,male
maere_tekanene,Maere Tekanene,Maere Tekanene,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,,,Parliament,10,,,,
mareko_tofinga,Mareko Tofinga,Mareko Tofinga,,,,Karikirakean Te I-Kiribati - Opposition,karikirakean_te_i-kiribati_-_opposition,area/south_tarawa,South Tarawa,Parliament,10,,,,male
martin_moreti,Martin Moreti,Martin Moreti,,,,Maurin Kiribati,maurin_kiribati,area/aranuka,Aranuka,Parliament,10,,,,male
martin_tofinga,Martin Tofinga,Martin Tofinga,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,area/betio,Betio,Parliament,10,,,,male
matiota_kairo,Matiota Kairo,Matiota Kairo,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,area/tamana,Tamana,Parliament,10,,,,male
mote_terukaio,Mote Terukaio,Mote Terukaio,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,area/nikunau,Nikunau,Parliament,10,,,,male
mr_inatio_tanentoa,Mr Inatio Tanentoa,Mr Inatio Tanentoa,,,,Karikirakean Te I-Kiribati - Opposition,karikirakean_te_i-kiribati_-_opposition,area/north_tarawa,North Tarawa,Parliament,10,,,,male
nabuti_mwemwenikarawa,Nabuti Mwemwenikarawa,Nabuti Mwemwenikarawa,,,,Maurin Kiribati,maurin_kiribati,area/north_tarawa,North Tarawa,Parliament,10,,,,male
patrick_tatireta,Patrick Tatireta,Patrick Tatireta,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,area/marakei,Marakei,Parliament,10,,,,male
paulo_vanualailai,Paulo Vanualailai,Paulo Vanualailai,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,area/rabi,Rabi,Parliament,10,,,,
pinto_katia,Pinto Katia,Pinto Katia,,,,Boutokaan Te Koaua - Government,boutokaan_te_koaua_-_government,,,Parliament,10,,,,
rereao_tetaake_eria,Rereao Tetaake Eria,Rereao Tetaake Eria,,,,Karikirakean Te I-Kiribati - Opposition,karikirakean_te_i-kiribati_-_opposition,area/teraina,Teraina,Parliament,10,,,,female
