name,id
Alyosha G. Gabrielyan,972c724f-6d38-4aca-bb72-4d19f3d9070a
Aram A. Grigoryan,7ec43b15-fd69-485e-a3b4-60336d3c6a0b
Ararat A. Ohandjanyan,8953eefa-b748-44f7-9478-35b8146a1e4a
Armen T. Sargsyan,dc42cd7f-ada1-4d2d-b1f4-c512626521eb
Armo M. Tsatryan,72bfa07f-7194-47be-9f1c-47750e49869f
Arpat S. Avanesyan,52f78bec-a205-4cbb-953c-ceca6455e482
Arsen A. Arstamyan,ec1f62bb-8533-42dd-8ed2-f77e0e5a1ab6
Arthur B. Tovmasyan,dc153bbc-4a37-4c4e-956b-5109fa97af58
Arzik M. Mkhitaryan,823117df-c8fd-4f98-9212-d47ba3e05907
Ashot V. Ghoulyan,b8c7a3d8-b1f8-4529-838f-caeed7458012
David H. Melkumyan,c56f2bb7-6b05-4e12-a886-639ca324eb06
David R. Ishkhanyan,96269486-0170-4faf-b00e-33bfa0bb5f6d
Eduard A. Aghabekyan,a716b43e-7e1b-4040-8362-2a818cbc209c
Gagik M. Baghunts,d462d4e0-0ecf-4cba-8b05-5c11c279e4e8
Gagik R. Petrosyan,756d9460-0847-47aa-8a2a-5cc257b7b2bc
Georgy M. Petrosyan,edcbda4c-3b62-4ced-bd31-b9f6c8a6cb1c
Grigory I. Kasparyan,62ddaa30-086d-4fba-9eb8-fa4627171b18
Hayk R. Khanumyan,f541732a-ed9b-4011-ba64-29a37ae5a197
Hovik Kh. Jivanyan,6e39bb37-5da8-42d4-a3c4-e970e1ca7644
Ivan Kh. Avanesyan,de0654ea-cd95-4cf3-806b-3ec38fcd6ddd
Lernik L. Hovhannisyan,5310df22-9554-4f87-8ee4-66b0677125ba
Ludmila A. Barseghyan,0385fdc9-f39a-4fc6-8cb7-9bd2feadeb35
Ramela N. Dadayan,748a500e-f61b-4051-95c6-a36b133b38aa
Rita M. Mnatsakanyan,303a72f9-9a70-47c9-931f-ace1b525fe3f
Robert E. Ghahramanyan,c04cb873-4f50-4274-809e-32529147395c
Rudik L. Hyusnunts,7b988ec2-4431-432a-ac7e-ecebb36e19e9
Ruslan E. Israelyan,795c8684-303c-46c0-a5d6-1e3e6473ec9b
Sergey S. Harutyunyan,24524f4f-41f3-43f7-b222-17ff30da0a02
Vahram R. Balayan,cfd80069-5de3-486a-90e4-8584fd574803
Vardges A. Ulubabyan,5bd74269-1872-45ff-b408-d3a082dcb182
Vardges B. Baghryan,68551852-4b70-4d79-8551-5103511dac50
Vitaly M. Balasanyan,7b98ded0-7ce7-46f7-9490-a0707b27c50f
Zhanna G. Galstyan,8b41a90a-3ca4-4a3d-ae9d-cd2753bde877
