id,name,party,faction,term,image,area,birth_date,phone,email,source
193,Edgar Ajcip Tepeu,LIDER,IND,7,http://www.congreso.gob.gt/manager/images/28FD7EE5-107C-AD32-95EE-074DD15DAC39.jpg,Listado Nacional,1967-11-06,22447878 Ext,eajcip@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=193
150,Juan David Alfredo Alcázar Solís,PP,IND,7,http://www.congreso.gob.gt/manager/images/ED690990-DBD9-724D-ECA2-9D30900799A6.jpg,Distrito Central,1962-06-24,Ext 2444,jalcazar@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=150
2,José Roberto Alejos Cámbara,UNE,IND,7,http://www.congreso.gob.gt/manager/images/2D0CE5CF-4AA6-7B3D-88A5-52180B8BAFA0.jpg,Listado Nacional,1960-10-08,22447878 Ext 2407,jalejos@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=2
194,Felipe Alejos Lorenzana,TODOS,IND,7,http://www.congreso.gob.gt/manager/images/E8750845-62FA-256C-7B96-55ABD2267634.png,Listado Nacional,1984-10-03,22447878 Ext 2406,falejos@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=194
195,Luis Pedro Álvarez Morales,EG,EG,7,http://www.congreso.gob.gt/manager/images/A73BA067-CE52-26C7-4A26-0769180C2145.jpg,Distrito Central,1974-12-21,2244-7120 2220-5618 Ext 2420,lalvarezm@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=195
51,Edgar Leonel Arévalo Barrios,FRG,PP,7,http://www.congreso.gob.gt/manager/images/594C4897-BB6C-E5C6-A85D-073233F72EC1.jpg,Totonicapán,1960-10-05,22204012 Ext 1443/1494,earevalo@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=51
52,Oswaldo Iván Arévalo Barrios,FRG,PP,7,http://www.congreso.gob.gt/manager/images/0B9E482E-D3C6-8835-8ACA-073261FFD2A5.jpg,Totonicapán,1962-06-26,22391093 Ext 2565/2567/2559,oarevalo@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=52
197,Ronald Estuardo Arango Ordóñez,UNE,IND,7,http://www.congreso.gob.gt/manager/images/751A8A42-8C14-EB38-62E0-07B8A002A416.jpg,Distrito Central,1972-08-21,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,rarango@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=197
151,Mirza Judith Arreaga Meza de Cardona,LIDER,LIDER,7,http://www.congreso.gob.gt/manager/images/3C2D4A9C-5499-7A20-DD1B-07474A4E4EF3.jpg,Huehuetenango,1962-05-23,2244-7878 y 22301865 Ext .,marreaga@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=151
152,Edgar Aníbal Ávila García,PP,PP,7,http://www.congreso.gob.gt/manager/images/030B5DEB-ED68-AA21-3939-9D8D2D3912FA.jpg,Chimaltenango,1961-10-06,Ext 1211/1209,eavila@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=152
153,Delia Emilda Back Alvarado de Monte,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/5D7D62BE-8303-1F28-905C-0747797A8E65.jpg,Listado Nacional,1959-10-13,2244-7878 y 2220-4794 Ext 1274,dmonteback@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=153
199,Luis Adolfo Balcarcel Cuellar,PP,LIDER,7,http://www.congreso.gob.gt/manager/images/A0CE7954-4FED-24F6-E37B-07B8F8B01CCE.jpg,Distrito Guatemala,1961-05-30,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Lbalcarcel@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=199
154,Salvador Francisco Baldizón Méndez,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/CA00703F-E120-1F63-25FF-074811D2FE0F.jpg,Listado Nacional,1971-10-04,2244-7878 / 2244-7159 / 22203957 Ext 2459,sbaldizon@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=154
186,Manuel de Jesús Barquín Durán,GANA,LIDER,7,http://www.congreso.gob.gt/manager/images/D2173993-BE24-7138-1D7A-074CBB70C2BB.jpg,Listado Nacional,1953-08-30,2244-7878 Ext 1164,manuelbarquin1802@gmail.com,http://www.congreso.gob.gt/perfiles.php?id=186
200,Carlos Alberto Barreda Taracena,UNE,UNE,7,http://www.congreso.gob.gt/manager/images/8B6398E0-BFFA-324F-E7BC-07B9D7886F1B.jpg,Escuintla,1971-08-08,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Cbarreda@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=200
60,Jorge Mario Barrios Falla,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/DFC10960-CEFC-F3A1-CEF8-0733FF99696F.jpg,El Progreso,1965-07-10,22447079 / 22447080 Ext 1477 / 1745,jbarrios@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=60
201,Carlos Arturo Batres Rivera,PP,IND,7,http://www.congreso.gob.gt/manager/images/36D25D29-EE2A-AF12-7DF4-07BA49DB814A.jpg,Quiché,1951-01-20,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Cbatres@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=201
202,Juan Carlos Bautista Mejía,CREO,CREO,7,http://www.congreso.gob.gt/manager/images/604BBD27-3614-B39C-C794-07BA8B7B4999.jpg,Distrito Guatemala,1966-08-19,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Jbautista@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=202
81,Alicia Dolores Beltrán López,UNE,LIDER,7,http://www.congreso.gob.gt/manager/images/B01DBCA6-4A0D-7A2D-5536-073699071292.jpg,Retalhuleu,1958-07-15,Ext 2488,abeltran@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=81
203,Dalio José Berreondo Zavala,LIDER,LIDER,7,http://www.congreso.gob.gt/manager/images/70B97E62-5349-2D99-3421-07BAE2657870.jpg,Quiché,1976-02-12,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Dberreondo@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=203
204,Orlando Joaquín Blanco Lapola,UNE,UNE,7,http://www.congreso.gob.gt/manager/images/02F5E6B2-99C4-1952-31C8-07BB153EB958.jpg,Distrito Guatemala,1968-06-10,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Oblanco@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=204
72,Christian Jacques Boussinot Nuila,UNE,IND,7,http://www.congreso.gob.gt/manager/images/078F82E4-A619-3C99-4062-0735B24ED1CB.jpg,Distrito Guatemala,1971-03-01,2244-7878 Ext Ext. 1510,midiputado@gmail.com,http://www.congreso.gob.gt/perfiles.php?id=72
280,Joaquín Humberto Bracamonte Márquez,PP,PP,7,http://www.congreso.gob.gt/manager/images/C5581536-6AE4-EC1F-8CCE-07D15A7A9AF9.jpg,Distrito Guatemala,1965-07-04,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Jbracamonte@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=280
205,Jean Paul Briere Samayoa,CREO,IND,7,http://www.congreso.gob.gt/manager/images/818C940B-CDE9-8297-201D-07BB550B915A.jpg,Distrito Central,1974-10-25,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Jbriere@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=205
286,Lesli Elisa Buezo Escoto,LIDER,IND,7,http://www.congreso.gob.gt/manager/images/5456FFBA-32E2-2084-2AAD-07B5AC37083C.jpg,Alta Verapaz,2012-01-16,. Ext .,Lbuezo@Congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=286
83,Juan Francisco Cárdenas Argueta,GANA,LIDER,7,http://www.congreso.gob.gt/manager/images/E6BFCA0B-C572-59A0-DCF6-0737C8272AEE.jpg,Chimaltenango,1957-09-13,Ext 1441/1442/2546/1418/2547,jfcardenas@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=83
210,Felipe Jesús Cal Lem,PP,UNE,7,http://www.congreso.gob.gt/manager/images/17A2BC00-8DD7-3311-15DD-07BD8EB435A8.jpg,Alta Verapaz,1961-02-05,Aquí debe de ingresar su teléfono Ext Aquí debe de ingresar su extensión,Fcal@congreso.gob.gt,http://www.congreso.gob.gt/perfiles.php?id=210
