id,name__la,name__eo,name__de,name__pl,name__en,name__ksh,name__fi,name__it,name__nl,name__sv,name__fr,name__es,name__de_ch,name__en_ca,name__en_gb,name__nb,name__da,name__nn,name,wikipedia__commons,wikipedia__de,wikipedia__en,wikipedia__enwikiquote,wikipedia__eo,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ksh,wikipedia__la,wikipedia__nl,wikipedia__pl,wikipedia__simple,wikipedia__sv,image,gender,identifier__IMDB,birth_date,identifier__freebase,family_name,given_name,identifier__journalisted,identifier__NPG,identifier__parliamentDOTuk,identifier__hansard,name__cy,name__ru,name__tr,name__zh,name__uk,name__yue,name__fa,wikipedia__cy,wikipedia__da,wikipedia__enwikisource,wikipedia__es,wikipedia__no,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh_yue,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__NNDB,identifier__Munzinger,name__ja,wikipedia__ja,identifier__BNF,identifier__NTA,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__et,name__eu,name__ga,name__gl,name__hr,name__hu,name__is,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__vec,name__wa,wikipedia__itwikiquote,identifier__SUDOC,identifier__CANTIC,name__sco,wikipedia__sco,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__he,name__vi,name__zh_mo,name__zh_my,wikipedia__cs,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__vi,honorific_prefix,name__el,name__oc,wikipedia__oc,name__rw,name__id,wikipedia__id,wikipedia__rw,website,twitter,name__fo,name__ms,wikipedia__fo,wikipedia__ms,name__hi,wikipedia__hi,wikipedia__pt,name__sh,wikipedia__cswikiquote,wikipedia__sh,wikipedia__ga,wikipedia__ro,identifier__EuroparlMEP,name__ar,identifier__NLAtrove,name__si,wikipedia__si,name__ne,wikipedia__ne,name__pt_br,name__mg,wikipedia__mg,identifier__ULAN,name__mk,name__ckb,name__ie,name__pa,name__bg,name__ko,wikipedia__ar,wikipedia__bg,wikipedia__ca,wikipedia__ckb,wikipedia__el,wikipedia__hu,wikipedia__ie,wikipedia__is,wikipedia__ko,wikipedia__pa,wikipedia__plwikiquote,name__nan,wikipedia__zh_min_nan,name__arz,name__az,name__bcl,name__be,name__bi,name__gd,name__gv,name__hak,name__hsb,name__hy,name__io,name__jv,name__ka,name__kw,name__lv,name__mr,name__my,name__new,name__os,name__pam,name__pnb,name__qu,name__scn,name__so,name__sr,name__ta,name__th,name__tl,name__tt,name__yi,name__yo,name__zu,name__ur,name__war,name__pih,name__bn,name__be_tarask,name__gsw,name__dsb,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__ia,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pcd,name__rm,name__sc,name__sr_el,name__sw,name__vls,name__vo,name__wo,name__kl,name__mn,name__kk,name__ks,wikipedia__af,wikipedia__an,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bi,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__dsb,wikipedia__eowikinews,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__frwikinews,wikipedia__gd,wikipedia__gv,wikipedia__hak,wikipedia__hr,wikipedia__hsb,wikipedia__hy,wikipedia__io,wikipedia__jv,wikipedia__ka,wikipedia__kk,wikipedia__ks,wikipedia__kw,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mn,wikipedia__mr,wikipedia__my,wikipedia__new,wikipedia__nn,wikipedia__os,wikipedia__pam,wikipedia__pih,wikipedia__pnb,wikipedia__qu,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__scn,wikipedia__sk,wikipedia__so,wikipedia__sq,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__tt,wikipedia__ur,wikipedia__war,wikipedia__yi,wikipedia__yo,wikipedia__zu,identifier__MusicBrainz,identifier__OpenPlaques,facebook,name__vmf,honorific_suffix,email,wikipedia__ukwikiquote,wikipedia__fawikiquote,wikipedia__azwikiquote,wikipedia__li,identifier__NDL,name__sr_ec,name__fy,wikipedia__bar,wikipedia__cawikiquote,wikipedia__fy,name__ku,wikipedia__ku,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__ty,identifier__britishmuseum,identifier__GTAA,wikipedia__lrc,identifier__NUKAT,name__lrc,wikipedia__wuu,death_date,name__ht,name__nov,name__tg,name__tpi,name__uz,name__sgs,wikipedia__afwikiquote,wikipedia__als,wikipedia__bat_smg,wikipedia__cywikiquote,wikipedia__ht,wikipedia__hywikiquote,wikipedia__nov,wikipedia__nowikiquote,wikipedia__sl,wikipedia__tg,wikipedia__tpi,wikipedia__uz,wikipedia__wo,identifier__BIBSYS,identifier__parlement,name__mzn,wikipedia__mzn,wikipedia__ptwikiquote,name__tg_latn,wikipedia__bgwikiquote,identifier__NLA,identifier__NKC,identifier__SELIBR,wikipedia__svwikiquote,wikipedia__vo,wikipedia__enwikinews,parlid
Q19650521,,,,,Owen Smith,,,,,,,,,,,,,,Owen Smith,,,Owen Smith (politician),,,,,,,,,,,,,male,,1970-01-01,,Smith,Owen,,,,,Owen Smith,,,,Оуен Сміт,,,Owen Smith,,,,,,,Оуен Сміт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19896981,Gregorius Clark,,Greg Clark,Greg Clark,Greg Clark,,,,,,Greg Clark,,,,,,,,Greg Clark,,Greg Clark,Greg Clark,,,,Greg Clark,,,Gregorius Clark,,Greg Clark,,,https://upload.wikimedia.org/wikipedia/commons/7/7e/Greg_Clark_at_the_CBI_Climate_Change_Summit_2008_cropped.jpg,male,,1967-08-28,,,Greg,,,,,,"Кларк, Грег",,格雷格·克拉克,Грег Кларк,,,,,,,,"Кларк, Грег",,Грег Кларк,,格雷格·克拉克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19868652,,,Kirsty Blackman,,Kirsty Blackman,,,,,,Kirsty Blackman,,,,,,,,Kirsty Blackman,,Kirsty Blackman,Kirsty Blackman,,,,Kirsty Blackman,,,,,,,,,female,,1986-01-01,,,Kirsty,,,commons/kirsty-blackman/4357,,Kirsty Blackman,,,,,,,Kirsty Blackman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,කර්ස්ටි බ්ලැක්මන්,කර්ස්ටි බ්ලැක්මන්,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4357
Q192,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,https://upload.wikimedia.org/wikipedia/commons/2/21/David_Cameron_official.jpg,male,nm2090098,1966-10-09,/m/0266lb,Cameron,David,david-cameron,,commons/mr-david-cameron/1467,,David Cameron,Дэвид Кэмерон,David Cameron,戴维·卡梅伦,Девід Камерон,甘民樂,دیوید کامرون,David Cameron,David Cameron,Author:David Cameron,David Cameron,David Cameron,"Кэмерон, Дэвид",David Cameron,Девід Камерон,甘民樂,戴维·卡梅伦,0000 0000 7246 2811,100245301,13289016X,nr2007001108,,00000025604,デーヴィッド・キャメロン,デーヴィッド・キャメロン,162255141,,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,119857332,,David Cameron,David Cameron,戴维·卡梅伦,甘民樂,大衛·卡梅倫,戴维·卡梅伦,戴维·卡梅伦,大衛·卡麥隆,דייוויד קמרון,David Cameron,大衛·卡梅倫,戴维·卡梅伦,David Cameron,دیوید کامرون,David Cameron,דייוויד קמרון,David Cameron,The Right Honourable,Ντέιβιντ Κάμερον,David Cameron,David Cameron,,David Cameron,David Cameron,,,David_Cameron,David Cameron,David Cameron,,David Cameron,डेविड कैमरून,डेविड कैमरन,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,,ديفيد كاميرون,,,,डेविड क्यामरुन,डेविड क्यामरुन,David Cameron,David Cameron,David Cameron,,Дејвид Камерон,دەیڤد کامیڕۆن,David Cameron,ਡੇਵਿਡ ਕੈਮਰਨ,Дейвид Камерън,데이비드 캐머런,ديفيد كاميرون,Дейвид Камерън,David Cameron,دەیڤد کامیڕۆن,Ντέιβιντ Κάμερον,David Cameron,David Cameron,David Cameron,데이비드 캐머런,ਡੇਵਿਡ ਕੈਮਰਨ,David Cameron,David Cameron,David Cameron,ديفيد كاميرون,Devid Kemeron,David Cameron,Дэвід Кэмеран,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,Դևիդ Քեմերոն,David Cameron,David Cameron,დეივიდ კამერონი,David Cameron,Deivids Kemerons,डेव्हिड कॅमेरॉन,ဒေးဗစ် ကင်မရွန်,डेविड क्यामरन,"Кэмерон, Дэвид",David Cameron,ڈیوڈ کیمرون,David Cameron,David Cameron,David Cameron,Дејвид Камерон,டேவிட் கேமரன்,เดวิด แคเมอรอน,David Cameron,Дэвид Кэмерон,דייוויד קאמעראן,David Cameron,David Cameron,ڈیوڈ کیمرن,David Cameron,David Cameron,ডেভিড ক্যামেরন,Дэвід Кэмэран,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,Дэвид Кэмерон,Дэвид Кэмерон,ٖڈیوڈ کَیمرن,David Cameron,David Cameron,ديفيد كاميرون,Devid Kemeron,David Cameron,Дэйвід Кэмэран,Дэвід Кэмеран,David Cameron,ডেভিড ক্যামেরন,David Cameron,David Cameron,David Cameron,Kategorio:David CAMERON,David Cameron,David Cameron,David Cameron,David Cameron,Catégorie:David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,Դևիդ Քեմերոն,David Cameron,David Cameron,დეივიდ კამერონი,Дэвид Кэмерон,ٖڈیوڈ کَیمرن,David Cameron,David Cameron,David Cameron,Deivids Kemerons,Дэвид Кэмерон,डेव्हिड कॅमेरॉन,ဒေးဗစ် ကင်မရွန်,डेविड क्यामरन,David Cameron,"Кэмерон, Дэвид",David Cameron,David Cameron,ڈیوڈ کیمرون,David Cameron,Категория:Дэвид Кэмерон,Дэвид Кэмерон,David Cameron,David Cameron,David Cameron,David Cameron,Дејвид Камерон,டேவிட் கேமரன்,เดวิด แคเมอรอน,เดวิด แคเมอรอน,David Cameron,Дэвид Кэмерон,ڈیوڈ کیمرن,David Cameron,דייוויד קאמעראן,David Cameron,David Cameron,aa5c60e6-dd61-4519-b3d4-ee327a84e9b7,9901,DavidCameronOfficial,,,,,,,,,,,,,,,,,,,,,,,,,,دئیڤید کامئرون,,دئیڤید کامئرون,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467
Q9670,Carolina Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,,Caroline Lucas,Caroline Lucas,Caroline Lucas,Caroline Lucas,,Carolina Lucas,,Caroline Lucas,Caroline Lucas,Caroline Lucas,https://upload.wikimedia.org/wikipedia/commons/9/94/Caroline_Lucas_MEP_Oxford_20060411_(crop).jpg,female,,1960-12-09,/m/025qbx,Lucas,Caroline,,,commons/caroline-lucas/3930,,Caroline Lucas,,,,,,کارولین لوکاس,Caroline Lucas,,,,,,,,,,0000 0001 1499 9597,164286269,173725031,nb90474643,,,,,,,,,,,Caroline Lucas,,,,,,,,Caroline Lucas,,,,,,,,,Caroline Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caroline Lucas,Caroline Lucas,,,,,http://www.carolinelucas.com,,,,,,,,,,,,,Caroline Lucas,4524,,,,,,,,,,,,,,,,,,,,,,Caroline Lucas,,,,,,Caroline Lucas,Caroline Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930
Q10652,Alexander Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Category:Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,Alex Salmond,Alex Salmond,Alex Salmond,,Alexander Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,https://upload.wikimedia.org/wikipedia/commons/0/0f/Alex_Salmond_(crop).JPG,male,,1954-12-31,/m/01k0jf,,Alex,,,,mr-alex-salmond,Alex Salmond,"Салмонд, Алекс",Alex Salmond,亚历克斯·萨尔蒙德,Алекс Салмонд,,الکس ساموند,Alex Salmond,Alex Salmond,,Alex Salmond,Alex Salmond,"Салмонд, Алекс",Alex Salmond,Алекс Салмонд,,亚历克斯·萨尔蒙德,,217086908,1011950936,,,00000026257,アレックス・サモンド,アレックス・サモンド,,,Alex Salmond,Alex Salmond,Alex Salmond,,Alex Salmond,,Alex Salmond,,Alex Salmond,,Alex Salmond,,Alex Salmond,Alex Salmond,,,,,,,Alex Salmond,,,,,,,,15491035X,,Alex Salmond,Alex Salmond,,,,,,,אלכס סלמונד,Alex Salmond,,,Alex Salmond,الکس سموند,Alex Salmond,אלכס סלמונד,Alex Salmond,,Άλεξ Σάλμοντ,Alex Salmond,Alex Salmond,,Alex Salmond,Alex Salmond,,,,,,,,,,Alex Salmond,Alex Salmond,,Alex Salmond,,,,أليكس سالموند,,,,,,,,,,Алекс Салмонд,,Alex Salmond,,Алекс Салмънд,앨릭스 새먼드,أليكس ساموند,Алекс Салмънд,Alex Salmond,,Άλεξ Σάλμοντ,Alex Salmond,Alex Salmond,Alex Salmond,앨릭스 새먼드,,Alex Salmond,,,,Aleks Salmond,,Алекс Салманд,,Ailig Salmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Алекс Сэлманд,,,,Alex Salmond,,,,,,,,,,,,,,,,,,,,,,,,Alex Salmond,Alex Salmond,,Aleks Salmond,,Алекс Сэлманд,Алекс Салманд,,,Alex Salmond,,,Kategorio:Alex SALMOND,,,Alex Salmond,,,Ailig Salmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19831,,,Peter Lilley,Peter Lilley,Peter Lilley,,,Peter Lilley,Peter Lilley,,Peter Lilley,Peter Lilley,,Peter Lilley,Peter Lilley,,,,Peter Lilley,Category:Peter Lilley,Peter Lilley,Peter Lilley,,,,Peter Lilley,,,,,Peter Lilley,,,https://upload.wikimedia.org/wikipedia/commons/e/eb/Peter_Lilley.jpg,male,,1943-08-23,/m/01qwj4,,Peter,peter-lilley,,commons/mr-peter-lilley/68,mr-peter-lilley,,,,,,,,,,,,,,,,,,,102189408,170937283,no2001013660,,00000019691,,,,074269844,,,,,Peter Lilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Lilley,Peter Lilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
Q153454,Diana Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Julie Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Julie Abbott,Diana Abbott,Diane Abbott,Diane Abbott,Diane Abbott,Diane Abbott,"https://upload.wikimedia.org/wikipedia/commons/9/98/Diane_Abbott,_after_New_Statesman_hustings,_cropped.jpg",female,nm1504113,1953-09-27,/m/0kmws,Abbott,Diana,diane-abbott,mp16616,commons/ms-diane-abbott/172,miss-diane-abbott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
Q180589,Boris Johnson,,Boris Johnson,Boris Johnson,Boris Johnson,,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,,,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,,Boris Johnson,Boris Johnson,Boris Johnson,,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,https://upload.wikimedia.org/wikipedia/commons/3/39/Boris_Johnson_-opening_bell_at_NASDAQ-14Sept2009-3c_cropped.jpg,male,nm1296124,1964-06-19,/m/0h508,Johnson,Boris,boris-johnson,,commons/boris-johnson/1423,mr-boris-johnson,Boris Johnson,"Джонсон, Борис",Boris Johnson,鲍里斯·约翰逊,Борис Джонсон,約翰遜,بوریس جانسون,Boris Johnson,Boris Johnson,,Boris Johnson,Boris Johnson,"Джонсон, Борис",Boris Johnson,Борис Джонсон,約翰遜,鲍里斯·约翰逊,0000 0003 6976 8010,86095534,137930917,nb2002000776,,00000026656,ボリス・ジョンソン,ボリス・ジョンソン,16693715k,268390657,Boris Johnson,,Boris Johnson,,Alexander Boris de Pfeffel Johnson,,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,,Boris Johnson,Boris Johnson,Boris Johnson,,,,Boris Johnson,,,Boris Johnson,,,,,,,,131598112,,,,鲍里斯·约翰逊,鮑里斯·約翰遜,鮑里斯·約翰遜,鲍里斯·约翰逊,鲍里斯·约翰逊,鮑里斯·詹森,בוריס ג'ונסון,Boris Johnson,,,Boris Johnson,بوریس جانسون,,בוריס ג'ונסון,Boris Johnson,,Μπόρις Τζόνσον,,,,Boris Johnson,Boris Johnson,,,,,,,,,,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,,,بوريس جونسون,,,,,,Boris Johnson,,,,Борис Џонсон,,,,Борис Джонсън,보리스 존슨,بوريس جونسون,Борис Джонсън,Alexander Boris de Pfeffel Johnson,,,Boris Johnson,,Boris Johnson,보리스 존슨,,Boris Johnson,,,بوريس جونسون,Boris Conson,,Борыс Джонсан,,,,,,,,,,,Boriss Džonsons,,,,,,,,,,Борис Џонсон,,,,,באריס זשאנסאן,,Boris Johnson,,,,,,,,,,,,,,,,,,,,,,,,Boris Džonson,,,,,,,,,Boris Johnson,,بوريس جونسون,Boris Conson,,,,,,Boris Johnson,,,,,Boris Johnson,Boris Johnson,,,,,,Boris Johnson,,,,,,,,,,,Boriss Džonsons,,,,,Boris Johnson,,,,,,Категория:Борис Джонсон,,,,,,Борис Џонсон,,,,,,,,באריס זשאנסאן,,Boris Johnson,,,,,,,,,,,01065306,Борис Џонсон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423
Q189947,Nicolaus Clegg,,Nick Clegg,Nick Clegg,Nick Clegg,,Nick Clegg,Nick Clegg,Nick Clegg,Nick Clegg,Nick Clegg,Nick Clegg,,,,Nick Clegg,Nick Clegg,Nick Clegg,Nick Clegg,,Nick Clegg,Nick Clegg,,,Nick Clegg,Nick Clegg,Nick Clegg,,Nicolaus Clegg,Nick Clegg,Nick Clegg,Nick Clegg,Nick Clegg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Nick_Clegg_-_World_Economic_Forum_Annual_Meeting_2011.jpg,male,nm2200958,1967-01-07,,,Nick,nick-clegg,mp124356,commons/mr-nick-clegg/1563,mr-nick-clegg,Nick Clegg,"Клегг, Ник",Nick Clegg,尼克·克萊格,Нік Клегг,紀理歷,نیک کلگ,Nick Clegg,Nick Clegg,,Nick Clegg,Nick Clegg,"Клегг, Ник",Nick Clegg,Нік Клегг,紀理歷,尼克·克萊格,0000 0001 1664 7421,68430942,1016989180,nb99171483,090/000220427,00000026801,ニック・クレッグ,ニック・クレッグ,16564981c,,Nick Clegg,,Nick Clegg,,Nick Clegg,,Nick Clegg,Nick Clegg,Nick Clegg,,Nick Clegg,,Nick Clegg,,,,,,,,Nick Clegg,Nicholas Clegg,Nick Clegg,,,,,,166255572,,Nicholas Clegg,Nick Clegg,尼克·克莱格,尼克·克萊格,尼克·克萊格,尼克·克莱格,尼克·克莱格,尼克·克萊格,ניק קלג,,,,Nick Clegg,نیک کلگ,Nick Clegg,ניק קלג,,The Right Honourable,Νικ Κλεγκ,,,,Nick Clegg,Nick Clegg,,http://www.nickclegg.org.uk/,,,,,,,,Nick Clegg,,,,,Nicholas Clegg,4518,نيك كليغ,1488886,,,,,,,,,,,Nick Clegg,,,닉 클레그,نك كلغ,,Nick Clegg,,Νικ Κλεγκ,Nick Clegg,Nick Clegg,,닉 클레그,,,,,نيك كليج,,,,,,,,,,,,ნიკ კლეგი,,Niks Klegs,,,,,Nick Clegg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Clegg,,نيك كليج,,,,,,,Nick Clegg,,,,,Nick Clegg,Nick Clegg,,,,,,,,,,,ნიკ კლეგი,,,,,,Niks Klegs,,,,,,,Nick Clegg,,,,,,,Nick Clegg,,,,,,,,,,,,,,fcbe06e3-6021-451a-970e-89ba94130d75,,,,,,,,,,,,,,,,,,,,,,,,,,211468,222210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563
