id,email
72184,david.gillespie.mp@aph.gov.au
37998,jim.chalmers.mp@aph.gov.au
L6P,alannah.mactiernan.mp@aph.gov.au
HWA,Amanda.Rishworth.MP@aph.gov.au
208884,Christian.porter.mp@aph.gov.au
IPZ,darren.chester.mp@aph.gov.au
I0O,david.feeney@australianlabor.com.au
91219,Ed.Husic.MP@aph.gov.au
IYU,jamie.briggs.mp@aph.gov.au
PG6,jmacklin.mp@aph.gov.au
HWM,julie.collins.mp@aph.gov.au
LKU,kelly.odwyer.mp@aph.gov.au
2K6,mal.brough.mp@aph.gov.au
HWK,Mark.Butler.MP@aph.gov.au
HWG,mark.dreyfus.mp@aph.gov.au
HWR,melissa.parke.mp@aph.gov.au
HWQ,richard.marles.mp@aph.gov.au
HWT,stuart.robert.mp@aph.gov.au
83M,tanya.plibersek.mp@aph.gov.au
9K6,teresa.gambaro.mp@aph.gov.au
HWO,alex.hawke.mp@aph.gov.au
E0H,andrew.laming.mp@aph.gov.au
C2T,andrew.wilkie.mp@aph.gov.au
231027,Angus.Taylor.MP@aph.gov.au
188315,bert.vanmanen.mp@aph.gov.au
207800,brett.whiteley.mp@aph.gov.au
99931,craig.kelly.mp@aph.gov.au
210911,dan.tehan.mp@aph.gov.au
241067,david.coleman.mp@aph.gov.au
212585,eric.hutchinson.mp@aph.gov.au
96430,ewen.jones.mp@aph.gov.au
HVP,graham.perrett.mp@aph.gov.au
E0F,Jason.Wood.MP@aph.gov.au
M3M,john.alexander.mp@aph.gov.au
148150,Keith.Pitt.MP@aph.gov.au
8T4,laurie.ferguson.mp@aph.gov.au
247742,luke.howarth.mp@aph.gov.au
249758,matt.williams.mp@aph.gov.au
250077,barton@aph.gov.au
198084,Rick.Wilson.MP@aph.gov.au
M3E,rob.mitchell.mp@aph.gov.au
HWS,rowan.ramsey.mp@aph.gov.au
A9B,stephen.jones.mp@aph.gov.au
M2X,wyatt.roy.mp@aph.gov.au
E07,louise.markus.mp@aph.gov.au
123674,Cathy.McGowan.MP@aph.gov.au
249224,joanne.ryan.mp@aph.gov.au
249710,Lisa.Chesters.MP@aph.gov.au
